#,Name,Category,Size,Price,Sold,Custom Available,Price on Request,Image File,Description
?? CANVAS PAINTINGS,,,,,,,,,
1,The Trio: African Queens,Canvas Painting,3 ž 30ž50cm,?280,no,no,no,african_queens.png,"Three vibrant African women, each a world of color and pattern. Bold silhouettes, handmade acrylic on canvas. Sold as a complete set."
2,Garden Gate,Canvas Painting,40ž40cm,?150,no,no,no,garden_gate.png,"A charming textured scene ? blue door, flowering tree, window box blooms, a little white chair. Mixed media with dimensional elements on canvas."
3,Squirrel in Bloom,Canvas Painting,30ž30cm,?120,no,no,no,squirrel_in_bloom.png,"A lively squirrel perched on a sweeping branch, surrounded by lush green leaves and pink blossoms. Handmade acrylic on canvas."
4,Chromatic Burst,Canvas Painting,20ž20cm,?90,no,no,no,chromatic_burst.png,An explosive abstract composition ? vivid feather-like forms erupting from a dark background. Handmade acrylic on canvas.
5,Kingfisher D‚coupaged,Canvas Painting,40ž30cm,?150,no,no,no,kingfisher_decopage.png,"Two kingfisher birds, mosaic and diamond painting, finished with d‚coupaged resin coat. Pressed leaves and botanicals border."
6,Sacred Lotus Mandala,Canvas Painting,40ž40cm,?150,no,no,no,lotus_mandala.png,"A mesmerizing mandala centered around a radiant lotus flower, bursting with gold, red, blue and black. Handmade acrylic on canvas."
7,Rainbow Falls,Canvas Painting,30ž30cm,?120,no,no,no,rainbow_falls.png,"A vivid waterfall cascading in full rainbow colors, lush green cliffs framing the scene. Handmade acrylic on canvas."
8,Midnight Shore,Canvas Painting,30ž30cm,?120,no,no,no,midnight_shore.png,"A serene night seascape ? moonlit ocean, lone palm tree, deep blue starry sky. Handmade acrylic on canvas."
9,Flora Mind,Canvas Painting,30ž40cm,?130,no,no,no,flora_mind.png,A woman's profile blooming with flowers and vines against a bold rainbow geometric background. Handmade acrylic on canvas.
10,Tree of Hearts,Canvas Painting,30ž40cm,?130,no,no,no,tree_of_hearts.png,"A magical tree whose branches are made entirely of pink and red hearts, glowing against a cosmic sky. Handmade acrylic on canvas."
11,Space Folklore,Canvas Painting,"30ž40cm, wood framed",?140,no,YES,no,space_folklore.png,Collab with Ahmed Hany. A cloaked figure on an otherworldly desert beneath orbiting planets. Available in different color themes.
12,Rooted in Gold,Canvas Painting,30ž40cm,?130,no,no,no,rooted_in_gold.png,"A magnificent tree in intricate dot-work and organic patterns ? rich amber tones, sprawling roots. Handmade acrylic on canvas."
13,Eating Pain,Canvas Painting,"40ž46cm, wood framed",?160,no,YES,no,eating_pain.png,Collab with Ahmed Hany. Raw portrait of a human consumed by life's weight. Available in different color themes.
